number of threads		runtimes			parallel speedup		
1						11.56288505			1.00000000
2						6.594167948			1.75350175
3						4.305796862			2.68542280
4						3.246098042			3.56208744
5						2.606950998			4.43540560
6						2.179282904			5.30582102
7						1.87686491			6.16074444
8						1.654068947			6.99057018
9						1.474843979			7.84007340
10						1.335904121			8.65547525
11						1.217352152			9.49838962
12						1.123944044			10.28777643
13						1.05657196			10.94377429
14						0.9760398865		11.84673414
15						0.9121677876		12.67626988
16						0.8604681492		13.43790013 
